title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
The Hunger Games,Suzanne Collins,English,4.33,"7,988,812","197,738",Scholastic Press,2008,374,Hardcover,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",https://www.goodreads.com/book/show/2767052-the-hunger-games
Harry Potter and the Order of the Phoenix,J.K. Rowling,English,4.50,"3,156,328","57,382",Scholastic Inc.,2004,912,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen,English,4.28,"3,956,390","101,058",Modern Library,2000,279,Paperback,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', 'Novels', 'Historical Romance', 'Adult']",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,English,4.27,"5,707,308","110,576",Harper Perennial Modern Classics ,2006,323,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School', 'Novels', 'High School']",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak,English,4.39,"2,372,023","136,411",Alfred A. Knopf,2006,552,Hardcover,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'Books About Books', 'Novels']",https://www.goodreads.com/book/show/19063.The_Book_Thief
Twilight,Stephenie Meyer,English,3.64,"6,173,027","122,457","Little, Brown and Company",2006,498,Paperback,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']",https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,English,3.98,"3,587,483","84,765",Signet Classics,1996,128,Mass Market Paperback,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature', 'Science Fiction', 'Novels', 'Read For School']",https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,English,4.61,"127,607","2,138",Ballantine Books,2012,1728,Mass Market Paperback,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Chronicles of Narnia,C.S. Lewis,English,4.27,"618,360","11,981",HarperCollins,2014,767,Paperback,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction', 'Magic']",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,English,4.15,"4,777,547","173,207",Dutton Books,2012,313,Hardcover,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels', 'Drama', 'Love']",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
